Mfg Part Num	Mfg Name	VID	Vendor Part Num	Description	Vendor Qty 1	Vendor Qty 2	Vendor Qty 3	Customer Ref	Price Qty 1	Price Qty 2	Price Qty 3	Vendor Reel Part Num	Vendor Link	Datasheet Link	VID2	Vendor 2 Part Num	Vendor 2 Derivate Part Num	Vendor 2 Price Qty 1	Vendor 2 Link
CC0402ZRY5V7BB104	Yageo	DK	311-1047-1-ND	CAP .10UF 16V CERAMIC Y5V 0402	10	100	500		0.011	0.0065	0.00376	311-1047-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=311-1047-1-ND	http://media.digikey.com/pdf/Data%20Sheets/Yageo%20PDFs/MLCC%20ordering%20code.pdf	ME	81-GRM155R71C104KA88	GRM155R71C104KA88D	0.022	http://at.mouser.com/ProductDetail/Murata/GRM155R71C104KA88D/?qs=sGAEpiMZZMvQvaS66kI3TkY6PWUV5MVtrUrqqJfmvT4%3d
F931A106MAA	Nichicon	DK	493-2351-1-ND	CAP TANTALUM 10UF 10V 20% SMD	10	100	250		0.349	0.21	0.15752	493-2351-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=493-2351-1-ND	http://products.nichicon.co.jp/en/pdf/XJA039/e-f93.pdf	ME	80-B45196H2106K109	B45196H2106K109	0.203	http://at.mouser.com/ProductDetail/Kemet/B45196H2106K109/?qs=sGAEpiMZZMuEN2agSAc2pkTaD7b2aQjmQy5HG6VoQ2g%3d
MSS1P4-M3/89A	Vishay	DK	MSS1P4-M3/89AGICT-ND	DIODE SCHOTTKY 1A 40V MICROSMP	10	100	250		0.326	0.1919	0.13576	MSS1P4-M3/89AGIDKR-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=MSS1P4-M3/89AGICT-ND	http://www.vishay.com/docs/89019/mss1p4.pdf	ME	625-MSS1P4-M3	MSS1P4-M3/89A	0.245	http://at.mouser.com/ProductDetail/Vishay/MSS1P4-M3-89A/?qs=fLSHF8TigmUkO6GnwlXAxQ%3d%3d
953230-2000-AR-PR	3M	DK	3M9272CT-ND	CONN SOCKET 30POS 2MM VERT SMD	1	100			3.22	2.449		3M9272DKR-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=3M9272CT-ND	http://multimedia.3m.com/mws/mediawebserver?mwsId=66666UuZjcFSLXTtmXMEm8T_EVuQEcuZgVs6EVs6E666666--	ME	517-953230-2000-ARPR	953230-2000-AR-PR	3.35	http://at.mouser.com/ProductDetail/3M-Electronic-Solutions-Division/953230-2000-AR-TP/?qs=sGAEpiMZZMvlX3nhDDO4AIai1Cgo4eruxj%252bVob%252bdmbc%3d
47346-0001	Molex Inc	DK	WM17141CT-ND	CONN RCPT 5POS MICRO USB R/A	10	50	250		0.793	0.6612	0.54992	WM17141DKR-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=WM17141DKR-ND	http://www.molex.com/pdm_docs/sd/473460001_sd.pdf	ME	538-47346-0001	47346-0001	1.44	http://at.mouser.com/ProductDetail/Molex/47346-0001/?qs=c2CV6XM0DweJBWaSeyWeCw%3d%3d
M50-3900542	Harwin Inc	DK	952-1395-ND	CONN HDR 1.27MM R/A AU 10POS	10	50	100		1.242	1.035	0.92		http://search.digikey.com/scripts/DkSearch/dksus.dll?vendor=0&keywords=M50-3900542	http://www.harwin.com/include/downloads/pdfs/2010PAGE95.PDF	ME	855-M50-3900542	M50-3900542	0.968	http://at.mouser.com/ProductDetail/Harwin/M50-3900542/?qs=9fQaSFfsqsyxvSF9FxJVZQ%3d%3d
L3G4200DH	STMicroelectronics	DK	497-11071-1-ND	IC GYROSCOPE MEMS 3AXIS LP 16LGA	10	100	250		12.39	10.62	9.73500	497-11071-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=497-11071-1-ND	http://www.st.com/stonline/products/literature/ds/17116.pdf	ME	511-L3G4200D	L3G4200D	12.41	http://at.mouser.com/ProductDetail/STMicroelectronics/L3G4200D/?qs=sGAEpiMZZMtlZAfbtrLey%252by4mKX%2fvdEL
HMC5843	HMC5843	DK	342-1071-1-ND	SENSOR MAGNETIC 3 AXIS 20-LCC	1	100	500		20	17	15	342-1071-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=342-1071-1-ND	http://www.sparkfun.com/datasheets/Sensors/Magneto/HMC5843.pdf					
BMP0805	Bosch Sensortec	DK	828-1005-1-ND	DIGITAL BAROMETRIC PRESSURE SNSR	10	100	250		8.79	7.325	5.567	828-1005-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=828-1005-1-ND	http://www.bosch-sensortec.com/content/language1/downloads/BST-BMP085-DS000-05.pdf					
LIS331DLH	STMicroelectronics	DK	497-10397-1-ND	ACCELEROMETER MEMS 3AXIS 16-LGA	10	100	250		8.316	6.93	6.237	497-10397-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=497-10397-1-ND	http://www.st.com/internet/com/TECHNICAL_RESOURCES/TECHNICAL_LITERATURE/DATASHEET/CD00213470.pdf	ME	511-LIS331DLH	LIS331DLH	7.87	http://at.mouser.com/ProductDetail/STMicroelectronics/LIS331DLH/?qs=sGAEpiMZZMvAvBNgSS9Lql%252bnfyR4OMMz
24FC128-I/MS	Microchip	DK	24FC128-I/MS-ND	IC EEPROM 128KBIT 1MHZ 8MSOP	10	25	100		0.84	0.6	0.58		http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=24FC128-I/MS-ND	http://ww1.microchip.com/downloads/en/DeviceDoc/21191s.pdf	ME	579-24FC128-I/MS	24FC128-I/MS	0.639	http://at.mouser.com/ProductDetail/Microchip/24FC128-I-MS/?qs=XNV0BZVlaZHXU0%2fvkIaqxQ%3d%3d
7M-16.000MEEQ-T	TXC	DK	887-1319-1-ND	CRYSTAL 16.000 MHZ 10PF SMD	10	50	100		1.463	1.2826	1.0125	887-1319-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=887-1319-1-ND	http://www.txccrystal.com/images/pdf/7m-accuracy.pdf	ME	717-7M-16.000MEEQ-T	7M-16.000MEEQ-T	9999	http://at.mouser.com/ProductDetail/TXC/7M-16000MEEQ-T/?qs=65dIHZNch5syu%2fvH9aFnbA%3d%3d
MIC5207-3.3YM5	Micrel Inc	DK	576-1267-1-ND	IC REG LDO 180MA 3.3V SOT23-5	1	100	250		1.02	0.85	0.51	576-1267-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=576-1267-1-ND	http://www.micrel.com/_PDF/mic5207.pdf					
LD1117AS33	STMicroelectronics	DK	497-1228-1-ND	IC REG LDO 3.3V 1.2A SOT-223	10	100	250		0.84	0.663	0.5746	497-1228-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=497-1228-1-ND	http://www.st.com/internet/com/TECHNICAL_RESOURCES/TECHNICAL_LITERATURE/DATASHEET/CD00002116.pdf	ME	511-LD1117AS33	LD1117AS33TR	0.477	http://at.mouser.com/ProductDetail/STMicroelectronics/LD1117AS33TR/?qs=C3bf%2fVrkE5CoDDd7wyn%252baQ%3d%3d
EVQP7J01K	Panasonic - ECG	DK	P12278SCT-ND	SWITCH LT 3.5MMX2.9MM 160GF SMD	10	100	500		0.734	0.6163	0.52826	P12278SDKR-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=P12278SCT-ND	http://industrial.panasonic.com/www-data/pdf/ATK0000/ATK0000CE20.pdf					
SN74LVC2T45	Texas Instruments	DK	296-17014-1-ND	Translator, Bidirectional, 3-State, 2bits	1	25	100		0.79	0.612	0.54	296-17014-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=296-17014-1-ND	http://focus.ti.com/lit/ds/symlink/sn74lvc2t45.pdf	ME	595-SN74LVC2T45DCUR	SN74LVC2T45DCUR	0.766	http://at.mouser.com/ProductDetail/Texas-Instruments/SN74LVC2T45DCUR/?qs=0smPjiIwnfIdG9vxyJHBdA%3d%3d
BKP1005HS121-T	Taiyo Yuden	DK	587-1921-1-ND	FERRITE BEAD 120 OHM 0402	10	100	500		0.2	0.08	0.041	587-1921-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=587-1921-1-ND	http://www.yuden.co.jp/us/product/pdf/ebkp_e.pdf	ME	81-BLM15PD121SN1D	BLM15PD121SN1D	0.107	http://at.mouser.com/ProductDetail/Murata/BLM15PD121SN1D/?qs=sGAEpiMZZMvgExXaNlWje%2fYJEy227vp0QOj%2fvL%252bjfcU%3d
BM06B-SRSS-TB	JST	DK	455-1792-1-ND	CONN HEADER SH 6POS TOP 1MM TIN	10	100	500		0.66	0.5504	0.4403	455-1792-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=455-1792-1-ND	http://www.jst-mfg.com/product/pdf/eng/eSH.pdf					
GRM155F51C474ZA01D	Murata Electronics	DK	490-3274-1-ND	CAP CER .47UF 16V Y5V 0402	10	100	500		0.044	0.026	0.015	490-3274-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=490-3274-1-ND	http://search.murata.co.jp/Ceramy/image/img/PDF/ENG/GRM155F51C474ZA01.pdf					
53261-15	Molex Inc	DK	WM7632CT-ND	CONN HEADER 15POS 1.25MM R/A SMD	10	50	100		2.199	1.8992	1.6993	WM7632DKR-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=WM7632CT-ND	http://www.molex.com/pdm_docs/sd/532611571_sd.pdf	ME	538-53261-1571	53261-1571	3.79	http://at.mouser.com/ProductDetail/Molex/53261-1571/?qs=sGAEpiMZZMticT%2fTNjssTkTynroYBL5J
CC0402KRX7R7BB103	Yageo	DK	311-1042-1-ND	CAP 10000PF 16V CERAMIC X7R 0402	10	100	500		0.011	0.0067	0.00386	311-1042-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=311-1042-1-ND	http://media.digikey.com/pdf/Data%20Sheets/Yageo%20PDFs/MLCC%20ordering%20code.pdf	ME	810-C1005X7R1C103K	C1005X7R1C103K	0.032	http://at.mouser.com/ProductDetail/TDK/C1005X7R1C103K/?qs=sGAEpiMZZMvQvaS66kI3ToxS7c2J4e237rb4UXwcIBM%3d
C1005Y5V1C224Z	TDK Corporation	DK	445-3444-1-ND	CAP CER .22UF 16V Y5V 0402	10	100	500		0.03	0.0176	0.01012	445-3444-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=445-3444-1-ND	http://www.tdk.com/pdf/general_A11.pdf					
C1608Y5V0J475Z	TDK Corporation	DK	445-3449-1-ND	CAP CER 4.7UF 6.3V Y5V 0603	10	100	500		0.121	0.0715	0.04126	445-3449-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=445-3449-1-ND	http://www.tdk.com/pdf/general_A11.pdf	ME	810-C1608X5R0J475M	C1608X5R0J475M	0.095	http://at.mouser.com/ProductDetail/TDK/C1608X5R0J475M/?qs=sGAEpiMZZMvQvaS66kI3Tt5K2onxAczgRH8Wm%2fmpn2c%3d
CC0402KRX7R9BB471	Yageo	DK	311-1028-1-ND	CAP 470PF 50V CERAMIC X7R 0402	10	100	500		0.011	0.0067	0.00386	311-1028-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=311-1028-1-ND	http://media.digikey.com/pdf/Data%20Sheets/Yageo%20PDFs/MLCC%20ordering%20code.pdf					
TXB0102DCUR	Texas Instruments	DK	296-22862-1-ND	IC VOLT-LVL TRANSL BI-DIR 8-US8	1	25	100		1.48	1.17	1.053	296-22862-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=296-22862-1-ND	http://focus.ti.com/lit/ds/symlink/txb0102.pdf	ME	595-TXB0102DCUR	TXB0102DCUR	1.55	http://at.mouser.com/ProductDetail/Texas-Instruments/TXB0102DCUR/?qs=sGAEpiMZZMsty6Jaj0%252bBBsMF3VbNM0929UnYQvFKVv0%3d
MF-FSMF050X-2	Bourns Inc.	DK	MF-FSMF050X-2CT-ND	FUSE PTC RESET 500MA SMD 0603	10	100	500		0.36	0.33	0.312	MF-FSMF050X-2DKR-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=MF-FSMF050X-2CT-ND	http://www.bourns.com/data/global/pdfs/mffsmf.pdf	ME	652-MFFSMF050X-2	MF-FSMF050X-2	0.448	http://at.mouser.com/ProductDetail/Bourns/MF-FSMF050X-2/?qs=3QkGRBNOvbrZekaW8Gqm4A%3d%3d
MF-FSMF020X-2	Bourns Inc.	DK	MF-FSMF020X-2CT-ND	FUSE PTC RESET 200MA SMD 0603	10	100	500		0.36	0.33	0.312	MF-FSMF020X-2DKR-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=MF-FSMF020X-2CT-ND	http://www.bourns.com/data/global/pdfs/mffsmf.pdf	ME	652-MFFSMF020X-2	MF-FSMF020X-2	0.448	http://at.mouser.com/ProductDetail/Bourns/MF-FSMF020X-2/?qs=3QkGRBNOvbqaTWjqPUQNsg%3d%3d
C1608Y5V1C225Z	TDK Corporation	DK	445-3451-1-ND	CAP CER 2.2UF 16V Y5V 0603	10	100	500		0.088	0.052	0.03	445-3451-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=445-3451-1-ND	http://www.tdk.com/pdf/general_A11.pdf	ME	810-C1608Y5V1C225Z	C1608Y5V1C225Z	0.085	http://at.mouser.com/ProductDetail/TDK/C1608Y5V1C225Z/?qs=sGAEpiMZZMvQvaS66kI3Tk6Pvfi1sRGO1Mj%252bJU27Qrg%3d
CC0402JRNP09BN100	Yageo	DK	311-1014-1-ND	CAP CERAMIC 10PF 50V NP0 0402	10	100	500		0.012	0.007	0.00406	311-1014-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=311-1014-1-ND	http://www.yageo.com/documents/recent/UPY-GP_NP0_16V-to-50V_6.pdf	ME	581-04023U100JAT2A	04023U100JAT2A	0.032	http://at.mouser.com/ProductDetail/AVX/04023U100JAT2A/?qs=sGAEpiMZZMvQvaS66kI3TihUrlW%252bJjiJUf9DY1cdM5I%3d
RC0402FR-0739K2L	Yageo	DK	311-39.2KLRCT-ND	RES 39.2K OHM 1/16W 1% 0402 SMD	10	50	200		0.067	0.0362	0.02085	311-39.2KLRDKR-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=311-39.2KLRCT-ND	http://www.yageo.com/documents/recent/PYu-RC0402_51_RoHS_L_6.pdf	ME	304-39.2K-RC	304-39.2K-RC	0.045	http://at.mouser.com/ProductDetail/Xicon/304-392K-RC/?qs=sGAEpiMZZMtG0KNrPCHnjZ81IsZ41qnEdwGMvS7VK3o%3d					
ERJ-2GEJ680X	Panasonic - ECG	DK	P68JCT-ND	RES 68 OHM 1/10W 5% 0402 SMD	1	50	100		0.05	0.0172	0.0131	P68JDKR-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=P68JCT-ND	http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AOA0001+ERJ2GEJ680X+7+WW										
CC0402ZRY5V7BB104	TDK	ME	810-C1005X7R1C104M	CAP .10UF 16V CERAMIC Y7R 0402	10	100	500		0.032	0.01	0.009	810-C1005X7R1C104M	http://at.mouser.com/ProductDetail/TDK/C1005X7R1C104M/?qs=sGAEpiMZZMvQvaS66kI3Ts8kcYAvnUrc2X3P8fTRlAY%3d	http://media.digikey.com/pdf/Data%20Sheets/Yageo%20PDFs/MLCC%20ordering%20code.pdf					
SM06B-SRSS-TB	JST	DK	455-1806-1-ND	CONN HEADER SH 6POS SIDE 1MM TIN	10	100	500		0.653	0.5445	0.4356	455-1806-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=455-1806-1-ND	http://www.jst-mfg.com/product/pdf/eng/eSH.pdf										
ABM3B-8.000MHZ-10-1-U-T	Abracon Corporation	DK	535-9721-1-ND	CRYSTAL 8.000 MHZ 10PF SMD	10	50	100		2.048	1.7956	1.4175	535-9721-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=535-9721-1-ND	http://www.abracon.com/Resonators/abm3b.pdf	ME	815-ABM3B-8.0-B2-T	ABM3B-8.000MHZ-B2-T	1.01	http://at.mouser.com/ProductDetail/ABRACON/ABM3B-8000MHZ-B2-T/?qs=NE97hfUNX0Ef9OqIOqO2cA%3d%3d
STM32F100C6T6B	STMicroelectronics	DK	497-10500-ND	MCU 32BIT ARM 32K FLASH 48LQFP	10	100	250		2.55	2.091	1.887		http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=497-10500-ND	http://www.st.com/internet/com/TECHNICAL_RESOURCES/TECHNICAL_LITERATURE/DATASHEET/CD00251732.pdf	ME	511-STM32F100C6T6B	STM32F100C6T6B	2.77	http://at.mouser.com/ProductDetail/STMicroelectronics/STM32F100C6T6B/?qs=sGAEpiMZZMs%2f2%2fdgfKIueKwtjHOoM53O
PTH08080WAH	Texas Instruments	DK	296-20432-ND	MODULE PIP .9-5.5V 2.25A HORZ TH	1	25	100		10.75	8.8152	7.955		http://search.digikey.com/scripts/DkSearch/dksus.dll?vendor=0&keywords=PTH08080WAH&stock=1	http://focus.ti.com/lit/ds/symlink/pth08080w.pdf	ME	595-PTH08080WAH	PTH08080WAH	11.3	http://at.mouser.com/ProductDetail/Texas-Instruments/PTH08080WAH/?qs=sGAEpiMZZMuo%252bmZx5g6tFE82QReiwhO7
53047-02	Molex Inc	DK	WM1731-ND	CONN HEADER 2POS 1.25MM VERT TIN	50	100	250		0.2778	0.2395	0.21076		http://search.digikey.com/scripts/DkSearch/dksus.dll?WT.z_header=search_go&lang=en&site=us&keywords=53047-02&x=0&y=0	http://www.molex.com/pdm_docs/sd/530470210_sd.pdf					
53047-03	Molex Inc	DK	WM1732-ND	CONN HEADER 3POS 1.25MM VERT TIN	50	100	250		0.342	0.2948	0.2594		http://search.digikey.com/scripts/DkSearch/dksus.dll?WT.z_header=search_go&lang=en&site=us&keywords=3047-03&x=0&y=0	http://www.molex.com/pdm_docs/sd/530470310_sd.pdf					
53047-04	Molex Inc	DK	WM1733-ND	CONN HEADER 4POS 1.25MM VERT TIN	50	100	250		0.378	0.329	0.28		http://search.digikey.com/scripts/DkSearch/dksus.dll?WT.z_header=search_go&lang=en&site=us&keywords=53047-04&x=0&y=0	http://www.molex.com/pdm_docs/sd/530470410_sd.pdf					
53047-05	Molex Inc	DK	WM1734-ND	CONN HEADER 5POS 1.25MM VERT TIN	50	100	250		0.4816	0.4192	0.3568		http://search.digikey.com/scripts/DkSearch/dksus.dll?WT.z_header=search_go&lang=en&site=us&keywords=53047-05&x=0&y=0	http://www.molex.com/pdm_docs/sd/530470510_sd.pdf					
T491X107K025ZT	Kemet	DK	399-5175-1-ND	CAP TANT 100UF 25V 10% SMD	10	25	100		2.453	2.3448	2.1645	399-5175-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=399-5175-1-ND	http://www.kemet.com/datasheets&T491X107K025ZT					
T491A475K010AT	Kemet	DK	399-3696-1-ND	CAPACITOR TANT 4.7UF 10V 10% SMD	10	100	250		0.349	0.21	0.15752	399-3696-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=399-3696-1-ND	http://www.kemet.com/datasheets&T491A475K010AT					
TC164-JR-07100RL	Yageo	DK	TC164J-100CT-ND	RES ARRAY 100 OHM 8TRM 4 RES SMD	10	100	500		0.012	0.0103	0.00736	TC164J-100DKR-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=TC164J-100CT-ND	http://www.yageo.com/documents/recent/PYu-YC_TC164_51_RoHS_L_3.pdf					
SN74LVC8T245DBQR	Texas Instruments	DK	296-23279-1-ND	IC BUS TRANSCVR 8BIT 24QSOP	1	25	100		1.33	1.05	0.945	296-23279-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=296-23279-1-ND	http://focus.ti.com/lit/ds/symlink/sn74lvc8t245.pdf					
S3B-ZR-SM4A-TF	JST	DK	455-1694-1-ND	CONN HEADER ZH SIDE 3POS 1.5MM	1	10	100		0.56	0.516	0.43	455-1694-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=455-1694-1-ND						
TLP3123(F)	Toshiba	DK	TLP3123F-ND	PHOTORELAY MOSFET 1A 4-SOP	10	100	250		3.15	2.45	2.32752		http://search.digikey.com/scripts/DkSearch/dksus.dll?WT.z_header=search_go&lang=en&site=us&keywords=TLP+3123+SO&x=0&y=0	http://www.semicon.toshiba.co.jp/docs/datasheet/en/Opto/TLP3123_en_datasheet_071001.pdf					
AP2151WG-7	Diodes Inc	DK	AP2151WGDICT-ND	IC PWR SW USB 1CH 0.5A SOT-25-5	10	100	250		0.855	0.675	0.585		http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=AP2151WGDICT-ND	http://www.diodes.com/datasheets/AP2141_51.pdf					
74LVC2GU04GW,125	NXP Semiconductors	DK	568-4843-1-ND	IC DUAL INVERTER SC88-6	1	25	100		0.52	0.3428	0.2816	568-4843-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=568-4843-1-ND	http://www.nxp.com/documents/data_sheet/74LVC2GU04.pdf	ME	771-LVC2GU04GW125	74LVC2GU04GW,125	0.577	http://ch.mouser.com:80/Search/ProductDetail.aspx?R=74LVC2GU04GW%2c125virtualkey66800000virtualkey771-LVC2GU04GW125
