Mfg Part Num	Mfg Name	VID	Vendor Part Num	Description	Vendor Qty 1	Vendor Qty 2	Vendor Qty 3	Customer Ref	Price Qty 1	Price Qty 2	Price Qty 3	Vendor Reel Part Num	Vendor Link	Datasheet Link	VID2	Vendor 2 Part Num	Vendor 2 Derivate Part Num	Vendor 2 Price Qty 1	Vendor 2 Link
MAX3051ESA+	Maxim Integrated Products	DK	MAX3051ESA+-ND	IC TXRX CAN 1MBPS 8-SOIC	1	25	100		2.56	1.71	1.24		http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=MAX3051ESA%2B-ND	http://datasheets.maxim-ic.com/en/ds/MAX3051.pdf					
DF12C(3.0)-50DS-0.5V	Hirose Electric Co Ltd	DK	DF12C(3.0)-50DS-0.5V(81)-ND	CONN RECEPT 50 POS SMD 0.5MM	1000				0.8379				http://search.digikey.com/scripts/DkSearch/dksus.dll?WT.z_header=search_go&lang=en&site=us&keywords=DF12C%283.0%29-50DS-0.5V&x=0&y=0	http://www.hirose.co.jp/cataloge_hp/e53700036.pdf										
B4B-PH-K	JST	DK	455-1706-ND	CONN HEADER PH TOP 4POS 2MM	10	100	500		0.11122	0.167	0.139		http://search.digikey.com/scripts/DkSearch/dksus.dll?vendor=0&keywords=B4B-PH-K-S&stock=1	http://www.jst-mfg.com/product/pdf/eng/ePH.pdf					
S02B-PASK-2	JST	DK	455-1847-ND	CONN HEADER PA 2POS SIDE 2MM TIN	10	100	500		0.225	0.1872	0.14974		http://search.digikey.com/scripts/DkSearch/dksus.dll?vendor=0&keywords=S02B-PASK-2&stock=1	http://www.jst-mfg.com/product/pdf/eng/ePA-F.pdf					
B3B-ZR	JST	DK	455-1658-ND	CONN HEADER ZH TOP 3POS 1.5MM	10	100	500		0.123	0.1028	0.08222	455-1682-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=455-1658-ND	http://www.jst-mfg.com/product/pdf/eng/eZH.pdf					
53261-03	Molex Inc	DK	WM7621CT-ND	CONN HEADER 3POS 1.25MM R/A SMD	10	50	100		1.09	0.9082	0.8173	WM7621DKR-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=WM7621CT-ND	http://www.molex.com/pdm_docs/sd/532610371_sd.pdf					
53261-04	Molex Inc	DK	WM7622CT-ND	CONN HEADER 4POS 1.25MM R/A SMD	10	50	100		1.193	0.994	0.8946	WM7622DKR-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=WM7622CT-ND	http://www.molex.com/pdm_docs/sd/532610471_sd.pdf					
P120JCT-ND	Panasonic - ECG	DK	P120JCT-ND	RES 120 OHM 1/10W 5% 0402 SMD	1	50	100		0.05	0.0172	0.0131	P120JDKR-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=P120JCT-ND	http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AOA0001+ERJ2GEJ121X+7+WW					
ERJ-2RKF3570X	Panasonic - ECG	DK	P357LCT-ND	RES 357 OHM 1/10W 1% 0402 SMD	1	50	100		0.06	0.0242	0.0184	P357LDKR-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=P357LCT-ND	http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AOA0002+ERJ2RKF3570X+7+WW					
AMIS42673ICAG1RG	ON Semiconductor	DK	766-1008-1-ND	TRANSCEIVER CAN HS 3.3V 8-SOIC	1	100	250		2.38	1.666	1.496	766-1008-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=766-1008-1-ND	http://www.onsemi.com/pub_link/Collateral/AMIS-42673-D.PDF					
STM32F103C4T6A	STMicroelectronics	DK	497-8316-ND	MCU ARM 32BIT 16K FLASH 48-LQFP	10	100	250		5.85	4.81	4.42		http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=497-8316-ND	http://www.st.com/internet/com/TECHNICAL_RESOURCES/TECHNICAL_LITERATURE/DATASHEET/CD00210843.pdf					
STM32F102C6T6A	STMicroelectronics	DK	497-8306-ND	MCU ARM 32BIT 32KB FLASH 48-LQFP	10	100	250		5.67	4.662	4.284		http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=497-8306-ND	http://www.st.com/internet/com/TECHNICAL_RESOURCES/TECHNICAL_LITERATURE/DATASHEET/CD00210833.pdf					
LNJ337W83RA	Panasonic - SSG	DK	LNJ337W83RACT-ND	LED GREEN HIGH BRIGHT ESS SMD	1	25	100		0.53	0.31	0.25	LNJ337W83RADKR-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=LNJ337W83RACT-ND	http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+SC+4+ATA7003+LNJ337W83RA+8+WW					
HMC5883L	Honeywell	DK	342-1082-1-ND	IC COMPASS 3 AXIS I2C 16LCC SMD	1	25	100		3.79	2.2356	1.8829	342-1082-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=342-1082-1-ND	http://media.digikey.com/PDF/Data%20Sheets/Honeywell%20PDFs/HMC5883L.pdf					
STM32F205	STMicroelectronics	DK	497-11157-ND	MCU ARM 1024KB FLASH 64LQFP	1	25	100		15.38	12.9316	11.883		http://search.digikey.com/scripts/DkSearch/dksus.dll?lang=en&site=US&KeyWords=stm32f205rgt6&x=0&y=0	http://www.st.com/internet/com/TECHNICAL_RESOURCES/TECHNICAL_LITERATURE/DATASHEET/CD00237391.pdf									
951230-2520-AR-PR	3M	DK	3M9197CT-ND	CONN HEADER 30POS 2MM VERT SMD	1	100			2.2	1.6748			http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=3M9197CT-ND	http://multimedia.3m.com/mws/mediawebserver?66666UuZjcFSLXTtmxTXmXfEEVuQEcuZgVs6EVs6E666666--	ME	538-87759-3050	87759-3050	5.4	http://ch.mouser.com:80/ProductDetail/Molex/87759-3050/?qs=sGAEpiMZZMtsLRyDR9nM10M7wAK5dulTwNabOIeF5lA%3d
ERJ-2RKF2050X	Panasonic - ECG	DK	P205LCT-ND	RES 205 OHM 1/10W 1% 0402 SMD	1	50	100		0.06	0.0242	0.0184	P205LDKR-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=P205LCT-ND	http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AOA0002+ERJ2RKF2050X+7+WW					
NTGS4111P	ON Semiconductor	DK	NTGS4111PT1G	MOSFET P-CH 30V 2.6A 6-TSOP	10	100	250		0.445	0.3042	0.25352	NTGS4111PT1GOSDKR-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=NTGS4111PT1GOSCT-ND	http://www.onsemi.com/pub_link/Collateral/NTGS4111P-D.PDF					
NX3225SA-24.000000MHZ	NDK	DK	NX3225SA-24.000000MHZ	CRYSTAL 24.000000 MHZ 8PF SMD	10	50	100		0.92	0.8064	0.6367	644-1052-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=644-1052-1-ND	http://media.digikey.com/pdf/Data%20Sheets/NDK%20PDFs/NX3225SA.pdf	ME	815-ABM8G-24-18-D2Y	ABM8G-24.000MHZ-18-D2Y-T	1.79	http://at.mouser.com:80/ProductDetail/ABRACON/ABM8G-24000MHZ-18-D2Y-T/?qs=sGAEpiMZZMsBj6bBr9Q9aWUu9Vmt5DeoJmWHNLWhJUM%3d
FT4232HL	FTDI	DK	768-1026-1-ND	IC USB HS QUAD UART/SYNC 64-LQFP	10	50	100		8.66	8.1	6.84	768-1026-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=768-1026-1-ND	http://www.ftdichip.com/Support/Documents/DataSheets/ICs/DS_FT4232H.pdf					
7M-12.000MEEQ-T	TXC CORPORATION	DK	887-1316-1-ND	CRYSTAL 12.000 MHZ 10PF SMD	10	50	100		1.463	1.2826	1.0125	887-1316-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=887-1316-1-ND	http://www.txccrystal.com/images/pdf/7m-accuracy.pdf					
MMS1208	APEM Components, LLC	DK	679-1854-ND	SWITCH MICRO-MINI SLIDE	10	50	100		1.003	0.85	0.765		http://search.digikey.com/scripts/DkSearch/dksus.dll?WT.z_header=search_go&lang=en&site=us&keywords=MMS1208&x=0&y=0	http://www.apem.com/pdf/MMS_MICRO_SLIDE.pdf					
TS3A24157	Texas Instruments	DK	296-22856-1-ND	IC SWITCH DUAL SPDT 10MSOP	1	25	100		1.41	1.11	0.999	296-22856-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=296-22856-1-ND	http://focus.ti.com/lit/ds/symlink/ts3a24157.pdf					
UX60SC-MB-5ST(80)	Hirose Electric Co Ltd	DK	H11671CT-ND	CONN RCPT USB MINI B R/A SMD	10	25	100		0.62	0.55	0.45	H11671DKR-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=H11671CT-ND	http://www.hirose.co.jp/cataloge_hp/e24000153.pdf					
EVQ-5PN04K	Panasonic - ECG	DK	P13595SCT-ND	SWITCH LT TOUCH 6X3.5 240GF SMD	10	100	500		0.513	0.4309	0.36936	P13595SDKR-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=P13595SCT-ND	http://industrial.panasonic.com/www-data/pdf/ATK0000/ATK0000CE7.pdf					
SBH11-PBPC-D10-RA-BK	Sullins Connector Solutions	DK	S9180-ND	CONN HEADR 2.54MM 20POS GOLD R/A	1	25	100		0.76	0.6888	0.4879		http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=S9180-ND	http://www.sullinscorp.com/drawings/145_SBH11-PBPC-D___-RA-___,_11092-B.pdf					
XG4C-3031	Omron Electronics Inc-EMC Div	DK	OR994-ND	CONN PLUG 30POS 3A 300V STRT DIP	1	25	100		1.61	1.4468	1.1576		http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=OR994-ND	http://components.omron.com/components/web/pdflib.nsf/0/1D642D622E2FDCF685257201007DD590/$file/XG4_1110.pdf					
68000-406HLF	FCI	DK	609-3263-ND	CONN HEADER 6POS .100 STR TIN	1	25	100		0.37	0.1744	0.1352		http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=609-3263-ND	http://portal.fciconnect.com/res/en/pdffiles/doc_search/68000.pdf					
93LC46BT-I/ST	Microchip Technology	DK	93LC46BT-I/STCT-ND	IC EEPROM 1KBIT 2MHZ 8TSSOP	10	25	100		0.26	0.25	0.24	93LC46BT-I/STDKR-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=93LC46BT-I/STCT-ND	http://ww1.microchip.com/downloads/en/DeviceDoc/21749H.pdf					
TXS0102DCUR	Texas Instruments	DK	296-21931-1-ND	IC VOLT-LEVEL TRANSLATOR 8-US8	1	25	100		1.25	0.99	0.891	296-21931-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=296-21931-1-ND	http://focus.ti.com/lit/ds/symlink/txs0102.pdf					
STM32F100C8T6B	STMicroelectronics	DK	497-10499-ND	MCU 32BIT ARM 64K FLASH 48LQFP	10	100	250		3.425	2.8085	2.53452		http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=497-10499-ND	http://www.st.com/internet/com/TECHNICAL_RESOURCES/TECHNICAL_LITERATURE/DATASHEET/CD00251732.pdf					
BAT 60A E6327	Infineon Technologies	DK	BAT60AE6327INCT-ND	DIODE SCHOTTKY 10V 3A SOD-323	10	100	500		0.38300	0.25550	0.14820	BAT60AE6327INDKR-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=BAT60AE6327INCT-ND	http://www.infineon.com/dgdl/bat60aseries.pdf?folderId=db3a304313d846880113def5812204a1&fileId=db3a304313d846880113def70c9304a9										
BLM15HD102SN1	Murata Electronics	DK	490-4003-1-ND	FILTER CHIP 1000 OHM 250MA 0402	10	50	100		0.41500	0.27340	0.21680	490-4003-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=490-4003-1-ND	http://search.murata.co.jp/Ceramy/image/img/PDF/ENG/L0110S0101BLM15H.pdf					
STM32F405RGT6	STMicroelectronics	DK	497-11767-ND	IC MCU 168 MHZ FPU 32BIT 1MB FLASH 64LQFP	10	100	250		13.08800	11.12460	10.14300		http://search.digikey.com/us/en/products/STM32F405RGT6/497-11767-ND/2754208	http://www.st.com/internet/com/TECHNICAL_RESOURCES/TECHNICAL_LITERATURE/DATASHEET/DM00037051.pdf					
RC0402FR-0747KL	Yageo	DK	311-47.0KLRCT-ND	RES 47.0K OHM 1/16W 1% 0402 SMD	10	50	100		0.01400	0.01040	0.00790	311-47.0KLRDKR-ND	http://search.digikey.com/us/en/products/RC0402FR-0747KL/311-47.0KLRCT-ND/729563	http://www.yageo.com/documents/recent/PYu-RC0402_51_RoHS_L_6.pdf					
DF13-3P-1.25H(20)	Hirose Electric Co Ltd	DK	H2220-ND	CONN HEADER 3POS 1.25MM R/A TIN	10	50	1000		0.49000	0.37800	0.18900		http://search.digikey.com/us/en/products/DF13-3P-1.25H(20)/H2220-ND/241793	http://www.hirose.co.jp/cataloge_hp/e53600014.pdf					
DF13-2P-1.25DSA	Hirose Electric Co Ltd	DK	H2191-ND	CONN HEADER 2POS 1.25MM STR TIN	10	50	1000		0.31300	0.20880	0.10080		http://search.digikey.com/us/en/products/DF13-2P-1.25DSA/H2191-ND/241765	http://www.hirose.co.jp/cataloge_hp/e53600014.pdf					
DF13-4P-1.25DSA	Hirose Electric Co Ltd	DK	H2193-ND	CONN HEADER 4POS 1.25MM STR TIN	10	50	1000		0.39900	0.30780	0.15390		http://search.digikey.com/us/en/products/DF13-4P-1.25DSA/H2193-ND/241767	http://www.hirose.co.jp/cataloge_hp/e53600014.pdf					
DF13-4P-1.25H(20)	Hirose Electric Co Ltd	DK	H2221-ND	CONN HEADER 4POS 1.25MM R/A TIN	10	50	1000		0.52700	0.42500	0.22610	DF13-4P-1.25H(21)-ND	http://search.digikey.com/us/en/products/DF13-4P-1.25H(20)/H2221-ND/241794	http://www.hirose.co.jp/cataloge_hp/e53600014.pdf					
DF13-3P-1.25DSA	Hirose Electric Co Ltd	DK	H2192-ND	CONN HEADER 3POS 1.25MM STR TIN	10	50	1000		0.30500	0.23500	0.11745		http://search.digikey.com/us/en/products/DF13-3P-1.25DSA/H2192-ND/241766	http://www.hirose.co.jp/cataloge_hp/e53600014.pdf					
DF13A-3P-1.25H(20)	Hirose Electric Co Ltd	DK	H3368-ND	CONN HEADER 3POS 1.25MM R/A TIN	10	50	1000		0.49000	0.37800	0.18900		http://search.digikey.com/us/en/products/DF13A-3P-1.25H(20)/H3368-ND/530665	http://www.hirose.co.jp/cataloge_hp/e53600014.pdf					
DF13A-4P-1.25H(20)	Hirose Electric Co Ltd	DK	H3369-ND	CONN HEADER 4POS 1.25MM R/A TIN	10	50	1000		0.52700	0.42500	0.22610		http://search.digikey.com/us/en/products/DF13A-4P-1.25H(20)/H3369-ND/530666	http://www.hirose.co.jp/cataloge_hp/e53600014.pdf					
DF13-6P-1.25DSA	Hirose Electric Co Ltd	DK	H2195-ND	CONN HEADER 6POS 1.25MM STR TIN	10	50	1000		0.50800	0.39160	0.19575		http://search.digikey.com/us/en/products/DF13-6P-1.25DSA/H2195-ND/241769	http://www.hirose.co.jp/cataloge_hp/e53600014.pdf					
MT9V034C12STM	Aptina LLC	DK	557-1454-ND	SENSOR IMAGE VGA MONO 48-CLCC	1	25	1000		16.40000	13.79520	9.91754		http://search.digikey.com/us/en/products/MT9V034C12STM/557-1454-ND/2074122	http://media.digikey.com/pdf/Data%20Sheets/APTINA%20PDFs/MT9V034.pdf					
L3GD20	STMicroelectronics	DK	497-12081-1-ND	IC MEMS MOTION SENSOR 16-LGA	10	100	1000		7.68000	6.40000	4.64000	497-12081-2-ND	http://search.digikey.com/us/en/products/L3GD20TR/497-12081-1-ND/2793125						
LNJ237W82RA	Panasonic - SSG	DK	LNJ237W82RA	LED RED HIGH BRIGHT ESS SMD	1	25	1000		0.52000	0.29360	0.09667		http://search.digikey.com/us/en/products/LNJ237W82RA/LNJ237W82RACT-ND/2349015	http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+SC+4+ATA7003+LNJ237W82RA+8+WW					
STM32F407VGT6	STMicroelectronics	DK	497-11605-ND	IC MCU 32BIT 1MB FLASH 100LQFP	10	100	1000		14.54600	12.36410	9.67309		http://search.digikey.com/scripts/DkSearch/dksus.dll?x=0&y=0&lang=en&site=us&KeyWords=STM32F407VGT6	http://www.st.com/internet/com/TECHNICAL_RESOURCES/TECHNICAL_LITERATURE/DATASHEET/DM00037051.pdf					
DF13-7P-1.25H(20)	Hirose Electric Co Ltd	DK	H2224-ND	CONN HEADER 7POS 1.25MM R/A TIN	10	50	1000		0.71300	0.57500	0.30590		http://search.digikey.com/scripts/DkSearch/dksus.dll?x=0&y=0&lang=en&site=us&KeyWords=DF13-7P-1.25H%2820%29	http://www.hirose.co.jp/cataloge_hp/e53600014.pdf					
ADNS-2080	Avago Technologies US Inc.	DK	516-2309-5-ND	LOW POWER OPTICAL MOUSE SENSOR	10	100	1000		1.45100	1.14660	0.70200		http://search.digikey.com/us/en/cat/sensors-transducers/optical-mouse-sensor/1966634?k=ADNS-2080	http://www.avagotech.com/docs/AV02-2668EN					
UVR1H101MPD	Nichicon	DK	493-1107-ND	CAP ALUM 100UF 50V 20% RADIAL	10	100	1000		0.21000	0.11900	0.07350		http://search.digikey.com/us/en/products/UVR1H101MPD/493-1107-ND/588848	http://nichicon-us.com/english/products/pdfs/e-vr.pdf					
ECA-1HM4R7	Panasonic - ECG	DK	P5177-ND	CAP ALUM 4.7UF 50V 20% RADIAL 2MM SPACING 5 MM WIDTH	1	100	1000		0.20000	0.06800	0.04117		http://search.digikey.com/us/en/products/ECA-1HM4R7/P5177-ND/245036	http://industrial.panasonic.com/www-data/pdf/ABA0000/ABA0000CE12.pdf					
C3D03060F	Cree Inc	DK	C3D03060F-ND	DIODE SCHOTTKY 600V 3A TO220	1	100	1000		1.96000	1.84000	1.23000		http://search.digikey.com/us/en/products/C3D03060F/C3D03060F-ND/2551964	http://www.cree.com/products/pdf/C3D03060F.pdf					
LD1117V33C	STMicroelectronics	DK	497-1492-5-ND	IC REG LDO 3.3V 950MA TO220	10	100	1000		0.56400	0.43470	0.25760		http://search.digikey.com/us/en/products/LD1117V33C/497-1492-5-ND/586013	http://www.st.com/internet/com/TECHNICAL_RESOURCES/TECHNICAL_LITERATURE/DATASHEET/CD00000544.pdf					
MFR-25FBF-10K0	Yageo	DK	10.0KXBK-ND	RES 10.0K OHM 1/4W 1% METAL FILM	10	200	1000		0.09100	0.03715	0.01670		http://search.digikey.com/us/en/products/MFR-25FBF-10K0/10.0KXBK-ND/13219	http://www.yageo.com/documents/recent/Leaded-R_MFR_2011.pdf					
MFR-25FBF-205R	Yageo	DK	205XBK-ND	RES 205 OHM 1/4W 1% METAL FILM	10	200	1000		0.09100	0.03715	0.01670		http://search.digikey.com/us/en/products/MFR-25FBF-205R/205XBK-ND/12857	http://www.yageo.com/documents/recent/Leaded-R_MFR_2011.pdf					
RC0402JR-07270RL	Yageo	DK	311-270JRCT-ND	RES 270 OHM 1/16W 5% 0402 SMD	10	50	1000		0.01200	0.00900	0.00253	311-270JRDKR-ND	http://search.digikey.com/us/en/products/RC0402JR-07270RL/311-270JRCT-ND/729395	http://www.yageo.com/documents/recent/PYu-RC0402_51_RoHS_L_6.pdf					
RC0402JR-0782RL	Yageo	DK	311-82JRCT-ND	RES 82 OHM 1/16W 5% 0402 SMD	10	50	1000		0.01200	0.00900	0.00253	311-82JRDKR-ND	http://search.digikey.com/us/en/products/RC0402JR-0782RL/311-82JRCT-ND/729456	http://www.yageo.com/documents/recent/PYu-RC0402_51_RoHS_L_6.pdf					
MAX4634EUB+	Maxim Integrated Products	DK	MAX4634EUB+-ND	IC MULTIPLEXER 4X1 10UMAX	1	25	500		3.03000	2.02480	1.44200		http://search.digikey.com/us/en/products/MAX4634EUB%2B/MAX4634EUB%2B-ND/948010	http://datasheets.maxim-ic.com/en/ds/MAX4634.pdf					
BM12B-SRSS-TB(LF)(SN)	JST Sales America Inc	DK	455-1798-1-ND	CONN HEADER SH 12POS TOP 1MM TIN	1	10	500		1.16000	1.07500	0.71680		http://search.digikey.com/us/en/products/BM12B-SRSS-TB(LF)(SN)/455-1798-1-ND/926869	http://www.jst-mfg.com/product/pdf/eng/eSH.pdf					
BSS123	Infineon Technologies	DK	BSS123L6327INCT-ND	MOSFET N-CH 100V 170MA SOT-23	1	100	1000		0.35000	0.15120	0.06552		http://search.digikey.com/us/en/products/BSS123%20L6327/BSS123L6327INCT-ND/1287714	http://www.infineon.com/dgdl/BSS123_Rev1.4.pdf?folderId=db3a304412b407950112b408e8c90004&fileId=db3a304412b407950112b42f346b4b17					
